bowler,season_year,bowling_team,matches,total_wickets,total_runs,total_balls,overs,economy,bowling_avg,bowling_sr
MM Sharma,2017,Kings XI Punjab,14,13,410,274,45.7,8.97,31.54,21.08
MM Sharma,2018,Kings XI Punjab,9,7,322,178,29.7,10.84,46.0,25.43
MM Sharma,2023,Gujarat Titans,14,27,361,265,44.2,8.17,13.37,9.81
MM Sharma,2024,Gujarat Titans,11,13,425,234,39.0,10.9,32.69,18.0
MM Sharma,2025,Delhi Capitals,8,2,257,150,25.0,10.28,128.5,75.0
MN Samuels,2012,Pune Warriors,8,8,216,172,28.7,7.53,27.0,21.5
MP Stoinis,2016,Kings XI Punjab,7,8,194,138,23.0,8.43,24.25,17.25
MP Stoinis,2020,Delhi Capitals,13,13,283,178,29.7,9.53,21.77,13.69
MR Marsh,2023,Delhi Capitals,8,12,170,121,20.2,8.42,14.17,10.08
MS Gony,2007,Chennai Super Kings,16,17,443,360,60.0,7.38,26.06,21.18
MS Gony,2009,Chennai Super Kings,10,6,264,150,25.0,10.56,44.0,25.0
MS Gony,2012,Deccan Chargers,6,3,207,144,24.0,8.62,69.0,48.0
MS Gony,2013,Kings XI Punjab,8,7,256,168,28.0,9.14,36.57,24.0
Mohammad Asif,2007,Delhi Daredevils,8,8,296,192,32.0,9.25,37.0,24.0
Mohammad Nabi,2019,Sunrisers Hyderabad,8,8,194,175,29.2,6.64,24.25,21.88
Mohammed Shami,2014,Delhi Daredevils,12,7,369,264,44.0,8.39,52.71,37.71
Mohammed Shami,2016,Delhi Daredevils,8,5,244,151,25.2,9.68,48.8,30.2
Mohammed Shami,2017,Delhi Daredevils,8,5,243,156,26.0,9.35,48.6,31.2
Mohammed Shami,2019,Kings XI Punjab,14,19,469,324,54.0,8.69,24.68,17.05
Mohammed Shami,2020,Kings XI Punjab,14,20,468,330,55.0,8.51,23.4,16.5
Mohammed Shami,2021,Punjab Kings,14,19,395,316,52.7,7.5,20.79,16.63
Mohammed Shami,2022,Gujarat Titans,16,20,488,366,61.0,8.0,24.4,18.3
Mohammed Shami,2023,Gujarat Titans,17,28,522,390,65.0,8.03,18.64,13.93
Mohammed Shami,2025,Sunrisers Hyderabad,9,6,337,180,30.0,11.23,56.17,30.0
Mohammed Siraj,2017,Sunrisers Hyderabad,6,10,212,138,23.0,9.22,21.2,13.8
Mohammed Siraj,2018,Royal Challengers Bangalore,11,11,367,246,41.0,8.95,33.36,22.36
Mohammed Siraj,2019,Royal Challengers Bangalore,9,7,269,169,28.2,9.54,38.43,24.14
Mohammed Siraj,2020,Royal Challengers Bangalore,9,11,236,163,27.2,8.68,21.45,14.82
Mohammed Siraj,2021,Royal Challengers Bangalore,15,11,353,312,52.0,6.79,32.09,28.36
Mohammed Siraj,2022,Royal Challengers Bangalore,15,9,514,306,51.0,10.08,57.11,34.0
Mohammed Siraj,2023,Royal Challengers Bangalore,14,19,375,300,50.0,7.5,19.74,15.79
Mohammed Siraj,2024,Royal Challengers Bengaluru,14,15,496,324,54.0,9.19,33.07,21.6
Mohammed Siraj,2025,Gujarat Titans,15,16,527,342,57.0,9.25,32.94,21.38
Mohsin Khan,2022,Lucknow Super Giants,9,14,197,198,33.0,5.97,14.07,14.14
