batter,season_year,batting_team,matches,total_runs,total_balls,highest_score,fifties,hundreds,ducks,innings,batting_avg,strike_rate
R Shepherd,2024,Mumbai Indians,5,57,21,39,0,0,0,5,11.4,271.43
R Shepherd,2025,Royal Challengers Bengaluru,3,70,24,53,1,0,1,3,23.33,291.67
R Shukla,2013,Rajasthan Royals,1,1,2,1,0,0,0,1,1.0,50.0
R Shukla,2014,Delhi Daredevils,3,18,21,14,0,0,0,3,6.0,85.71
R Tewatia,2014,Rajasthan Royals,1,16,13,16,0,0,0,1,16.0,123.08
R Tewatia,2017,Kings XI Punjab,2,19,11,15,0,0,0,2,9.5,172.73
R Tewatia,2018,Delhi Daredevils,5,50,43,24,0,0,0,5,10.0,116.28
R Tewatia,2019,Delhi Capitals,4,26,22,11,0,0,0,4,6.5,118.18
R Tewatia,2020,Rajasthan Royals,11,255,183,53,1,0,0,11,23.18,139.34
R Tewatia,2021,Rajasthan Royals,11,155,147,44,0,0,1,11,14.09,105.44
R Tewatia,2022,Gujarat Titans,12,217,147,43,0,0,0,12,18.08,147.62
R Tewatia,2023,Gujarat Titans,10,87,57,20,0,0,0,10,8.7,152.63
R Tewatia,2024,Gujarat Titans,9,188,129,36,0,0,0,9,20.89,145.74
R Tewatia,2025,Gujarat Titans,11,99,59,24,0,0,2,11,9.0,167.8
R Vinay Kumar,2007,Royal Challengers Bangalore,4,25,22,23,0,0,1,4,6.25,113.64
R Vinay Kumar,2009,Royal Challengers Bangalore,12,74,76,12,0,0,0,12,6.17,97.37
R Vinay Kumar,2011,Kochi Tuskers Kerala,7,50,47,18,0,0,0,7,7.14,106.38
R Vinay Kumar,2012,Royal Challengers Bangalore,7,68,62,25,0,0,1,7,9.71,109.68
R Vinay Kumar,2013,Royal Challengers Bangalore,5,70,44,26,0,0,0,5,14.0,159.09
R Vinay Kumar,2014,Kolkata Knight Riders,2,4,6,4,0,0,1,2,2.0,66.67
R Vinay Kumar,2015,Mumbai Indians,2,0,2,0,0,0,2,2,0.0,0.0
R Vinay Kumar,2016,Mumbai Indians,2,13,12,12,0,0,0,2,6.5,108.33
R Vinay Kumar,2018,Kolkata Knight Riders,1,6,3,6,0,0,0,1,6.0,200.0
RA Bawa,2022,Punjab Kings,2,11,14,11,0,0,1,2,5.5,78.57
RA Bawa,2025,Mumbai Indians,1,8,4,8,0,0,0,1,8.0,200.0
RA Jadeja,2007,Rajasthan Royals,9,135,103,36,0,0,2,9,15.0,131.07
RA Jadeja,2009,Rajasthan Royals,13,295,266,42,0,0,0,13,22.69,110.9
RA Jadeja,2011,Kochi Tuskers Kerala,12,283,228,47,0,0,0,12,23.58,124.12
RA Jadeja,2012,Chennai Super Kings,14,191,151,48,0,0,0,14,13.64,126.49
RA Jadeja,2013,Chennai Super Kings,14,201,135,38,0,0,2,14,14.36,148.89
RA Jadeja,2014,Chennai Super Kings,10,146,110,36,0,0,0,10,14.6,132.73
RA Jadeja,2015,Chennai Super Kings,11,132,126,24,0,0,1,11,12.0,104.76
RA Jadeja,2016,Gujarat Lions,15,191,177,36,0,0,1,15,12.73,107.91
RA Jadeja,2017,Gujarat Lions,10,158,113,28,0,0,0,10,15.8,139.82
RA Jadeja,2018,Chennai Super Kings,8,89,74,27,0,0,0,8,11.12,120.27
RA Jadeja,2019,Chennai Super Kings,9,106,88,31,0,0,0,9,11.78,120.45
RA Jadeja,2020,Chennai Super Kings,11,232,135,50,1,0,0,11,21.09,171.85
RA Jadeja,2021,Chennai Super Kings,11,227,156,62,1,0,0,11,20.64,145.51
RA Jadeja,2022,Chennai Super Kings,10,116,98,26,0,0,2,10,11.6,118.37
RA Jadeja,2023,Chennai Super Kings,12,190,133,25,0,0,0,12,15.83,142.86
RA Jadeja,2024,Chennai Super Kings,11,267,187,57,1,0,0,11,24.27,142.78
RA Jadeja,2025,Chennai Super Kings,14,301,222,77,2,0,1,14,21.5,135.59
RA Tripathi,2017,Rising Pune Supergiant,14,391,267,93,2,0,1,14,27.93,146.44
RA Tripathi,2018,Rajasthan Royals,12,226,167,80,1,0,0,12,18.83,135.33
RA Tripathi,2019,Rajasthan Royals,7,141,118,50,1,0,0,7,20.14,119.49
RA Tripathi,2020,Kolkata Knight Riders,11,230,181,81,1,0,0,11,20.91,127.07
RA Tripathi,2021,Kolkata Knight Riders,16,397,283,74,2,0,0,16,24.81,140.28
RA Tripathi,2022,Sunrisers Hyderabad,14,413,261,76,3,0,2,14,29.5,158.24
RA Tripathi,2023,Sunrisers Hyderabad,13,273,213,74,1,0,1,13,21.0,128.17
RA Tripathi,2024,Sunrisers Hyderabad,6,165,115,55,1,0,0,6,27.5,143.48
