batter,season_year,batting_team,matches,total_runs,total_balls,highest_score,fifties,hundreds,ducks,innings,batting_avg,strike_rate
SS Prabhudessai,2024,Royal Challengers Bengaluru,1,24,18,24,0,0,0,1,24.0,133.33
SS Shaikh,2009,Kolkata Knight Riders,1,6,7,6,0,0,0,1,6.0,85.71
SS Tiwary,2007,Mumbai Indians,2,26,20,17,0,0,0,2,13.0,130.0
SS Tiwary,2009,Mumbai Indians,18,432,321,61,3,0,1,18,24.0,134.58
SS Tiwary,2011,Royal Challengers Bangalore,13,187,188,42,0,0,0,13,14.38,99.47
SS Tiwary,2012,Royal Challengers Bangalore,11,191,170,36,0,0,0,11,17.36,112.35
SS Tiwary,2013,Royal Challengers Bangalore,6,109,106,52,1,0,0,6,18.17,102.83
SS Tiwary,2015,Delhi Daredevils,6,109,78,28,0,0,0,6,18.17,139.74
SS Tiwary,2016,Rising Pune Supergiants,7,170,141,57,2,0,0,7,24.29,120.57
SS Tiwary,2017,Mumbai Indians,1,52,43,52,1,0,0,1,52.0,120.93
SS Tiwary,2020,Mumbai Indians,5,103,80,42,0,0,0,5,20.6,128.75
SS Tiwary,2021,Mumbai Indians,4,115,97,50,1,0,0,4,28.75,118.56
ST Jayasuriya,2007,Mumbai Indians,14,514,309,114,2,1,0,14,36.71,166.34
ST Jayasuriya,2009,Mumbai Indians,16,254,223,52,2,0,2,16,15.88,113.9
STR Binny,2009,Mumbai Indians,1,8,5,8,0,0,0,1,8.0,160.0
STR Binny,2011,Rajasthan Royals,2,37,31,30,0,0,0,2,18.5,119.35
STR Binny,2012,Rajasthan Royals,6,90,67,30,0,0,1,6,15.0,134.33
STR Binny,2013,Rajasthan Royals,16,293,199,41,0,0,1,16,18.31,147.24
STR Binny,2014,Rajasthan Royals,11,123,121,48,0,0,2,11,11.18,101.65
STR Binny,2015,Rajasthan Royals,8,74,66,20,0,0,1,8,9.25,112.12
STR Binny,2016,Royal Challengers Bangalore,5,63,39,21,0,0,0,5,12.6,161.54
STR Binny,2017,Royal Challengers Bangalore,7,78,76,18,0,0,0,7,11.14,102.63
STR Binny,2018,Rajasthan Royals,5,44,39,22,0,0,1,5,8.8,112.82
STR Binny,2019,Rajasthan Royals,5,70,40,33,0,0,1,5,14.0,175.0
SV Samson,2013,Rajasthan Royals,10,206,178,63,1,0,2,10,20.6,115.73
SV Samson,2014,Rajasthan Royals,13,339,273,74,2,0,0,13,26.08,124.18
SV Samson,2015,Rajasthan Royals,11,204,163,76,1,0,0,11,18.55,125.15
SV Samson,2016,Delhi Daredevils,14,291,259,60,1,0,0,14,20.79,112.36
SV Samson,2017,Delhi Daredevils,14,386,273,102,2,1,2,14,27.57,141.39
SV Samson,2018,Rajasthan Royals,15,441,320,92,3,0,1,15,29.4,137.81
SV Samson,2019,Rajasthan Royals,11,342,230,102,0,1,0,11,31.09,148.7
SV Samson,2020,Rajasthan Royals,14,375,236,85,3,0,2,14,26.79,158.9
SV Samson,2021,Rajasthan Royals,14,484,354,119,2,1,0,14,34.57,136.72
SV Samson,2022,Rajasthan Royals,17,458,312,55,2,0,0,17,26.94,146.79
SV Samson,2023,Rajasthan Royals,14,362,236,66,3,0,2,14,25.86,153.39
SV Samson,2024,Rajasthan Royals,15,531,346,86,5,0,1,15,35.4,153.47
SV Samson,2025,Rajasthan Royals,9,285,203,66,1,0,0,9,31.67,140.39
SW Billings,2016,Delhi Daredevils,4,88,64,54,1,0,0,4,22.0,137.5
SW Billings,2017,Delhi Daredevils,6,138,104,55,1,0,1,6,23.0,132.69
SW Billings,2018,Chennai Super Kings,8,108,78,56,1,0,1,8,13.5,138.46
SW Billings,2019,Chennai Super Kings,1,0,4,0,0,0,1,1,0.0,0.0
SW Billings,2022,Kolkata Knight Riders,8,169,138,36,0,0,0,8,21.12,122.46
SW Tait,2009,Rajasthan Royals,2,12,13,11,0,0,0,2,6.0,92.31
SW Tait,2011,Rajasthan Royals,2,10,10,10,0,0,1,2,5.0,100.0
SW Tait,2013,Rajasthan Royals,1,1,3,1,0,0,0,1,1.0,33.33
SZ Mulani,2024,Mumbai Indians,1,1,1,1,0,0,0,1,1.0,100.0
Sachin Baby,2013,Rajasthan Royals,1,3,7,3,0,0,0,1,3.0,42.86
Sachin Baby,2016,Royal Challengers Bangalore,6,119,79,33,0,0,1,6,19.83,150.63
Sachin Baby,2017,Royal Challengers Bangalore,3,15,15,12,0,0,0,3,5.0,100.0
Sachin Baby,2021,Royal Challengers Bangalore,1,7,17,7,0,0,0,1,7.0,41.18
Salman Butt,2007,Kolkata Knight Riders,7,193,161,73,1,0,0,7,27.57,119.88
Sameer Rizvi,2024,Chennai Super Kings,5,51,43,21,0,0,1,5,10.2,118.6
Sameer Rizvi,2025,Delhi Capitals,4,121,79,58,1,0,0,4,30.25,153.16
Sandeep Sharma,2013,Kings XI Punjab,1,0,1,0,0,0,1,1,0.0,0.0
Sandeep Sharma,2014,Kings XI Punjab,1,2,5,2,0,0,0,1,2.0,40.0
Sandeep Sharma,2015,Kings XI Punjab,3,9,14,7,0,0,0,3,3.0,64.29
Sandeep Sharma,2016,Kings XI Punjab,4,8,9,5,0,0,0,4,2.0,88.89
Sandeep Sharma,2017,Kings XI Punjab,2,7,6,5,0,0,0,2,3.5,116.67
Sandeep Sharma,2018,Sunrisers Hyderabad,3,0,4,0,0,0,3,3,0.0,0.0
Sandeep Sharma,2019,Sunrisers Hyderabad,2,6,3,5,0,0,0,2,3.0,200.0
Sandeep Sharma,2020,Sunrisers Hyderabad,5,12,15,9,0,0,2,5,2.4,80.0
Sandeep Sharma,2021,Sunrisers Hyderabad,2,8,7,8,0,0,1,2,4.0,114.29
Sandeep Sharma,2023,Rajasthan Royals,2,2,6,2,0,0,1,2,1.0,33.33
Sandeep Sharma,2025,Rajasthan Royals,1,6,5,6,0,0,0,1,6.0,120.0
Sanvir Singh,2023,Sunrisers Hyderabad,2,11,9,7,0,0,0,2,5.5,122.22
Sanvir Singh,2024,Sunrisers Hyderabad,3,14,12,8,0,0,1,3,4.67,116.67
Saurav Chauhan,2024,Royal Challengers Bengaluru,3,18,15,9,0,0,1,3,6.0,120.0
Sediqullah Atal,2025,Delhi Capitals,1,22,16,22,0,0,0,1,22.0,137.5
Shahbaz Ahmed,2020,Royal Challengers Bangalore,1,1,1,1,0,0,0,1,1.0,100.0
Shahbaz Ahmed,2021,Royal Challengers Bangalore,7,59,53,14,0,0,0,7,8.43,111.32
Shahbaz Ahmed,2022,Royal Challengers Bangalore,11,219,181,45,0,0,0,11,19.91,120.99
Shahbaz Ahmed,2023,Royal Challengers Bangalore,6,42,39,20,0,0,0,6,7.0,107.69
Shahbaz Ahmed,2024,Sunrisers Hyderabad,12,215,166,59,1,0,1,12,17.92,129.52
Shahbaz Ahmed,2025,Lucknow Super Giants,1,9,8,9,0,0,0,1,9.0,112.5
Shahid Afridi,2007,Deccan Chargers,9,81,46,33,0,0,1,9,9.0,176.09
Shakib Al Hasan,2011,Kolkata Knight Riders,3,29,22,26,0,0,0,3,9.67,131.82
Shakib Al Hasan,2012,Kolkata Knight Riders,7,91,74,42,0,0,0,7,13.0,122.97
Shakib Al Hasan,2014,Kolkata Knight Riders,11,229,154,60,1,0,1,11,20.82,148.7
Shakib Al Hasan,2015,Kolkata Knight Riders,3,36,27,23,0,0,1,3,12.0,133.33
Shakib Al Hasan,2016,Kolkata Knight Riders,7,114,106,66,1,0,0,7,16.29,107.55
Shakib Al Hasan,2017,Kolkata Knight Riders,1,1,1,1,0,0,0,1,1.0,100.0
Shakib Al Hasan,2018,Sunrisers Hyderabad,13,239,197,35,0,0,0,13,18.38,121.32
Shakib Al Hasan,2019,Sunrisers Hyderabad,1,9,10,9,0,0,0,1,9.0,90.0
Shakib Al Hasan,2021,Kolkata Knight Riders,6,47,48,26,0,0,2,6,7.83,97.92
Shashank Singh,2022,Sunrisers Hyderabad,5,69,47,25,0,0,0,5,13.8,146.81
Shashank Singh,2024,Punjab Kings,14,354,215,68,2,0,2,14,25.29,164.65
Shashank Singh,2025,Punjab Kings,14,350,228,61,3,0,0,14,25.0,153.51
Shivam Mavi,2018,Kolkata Knight Riders,3,13,15,7,0,0,1,3,4.33,86.67
Shivam Mavi,2020,Kolkata Knight Riders,3,10,14,9,0,0,1,3,3.33,71.43
Shivam Mavi,2021,Kolkata Knight Riders,2,25,20,20,0,0,0,2,12.5,125.0
Shivam Mavi,2022,Kolkata Knight Riders,3,3,7,2,0,0,1,3,1.0,42.86
Shivam Sharma,2014,Kings XI Punjab,2,5,3,4,0,0,0,2,2.5,166.67
Shivam Singh,2024,Punjab Kings,1,2,3,2,0,0,0,1,2.0,66.67
Shoaib Ahmed,2009,Deccan Chargers,3,1,6,1,0,0,2,3,0.33,16.67
Shoaib Akhtar,2007,Kolkata Knight Riders,1,2,7,2,0,0,0,1,2.0,28.57
Shoaib Malik,2007,Delhi Daredevils,5,52,47,24,0,0,0,5,10.4,110.64
Shubman Gill,2018,Kolkata Knight Riders,10,203,139,57,1,0,0,10,20.3,146.04
Shubman Gill,2019,Kolkata Knight Riders,13,296,238,76,3,0,0,13,22.77,124.37
Shubman Gill,2020,Kolkata Knight Riders,14,440,373,70,3,0,0,14,31.43,117.96
Shubman Gill,2021,Kolkata Knight Riders,17,478,402,57,3,0,1,17,28.12,118.91
Shubman Gill,2022,Gujarat Titans,16,483,365,96,4,0,2,16,30.19,132.33
Shubman Gill,2023,Gujarat Titans,17,890,564,129,4,3,1,17,52.35,157.8
Shubman Gill,2024,Gujarat Titans,12,426,289,104,2,1,0,12,35.5,147.4
Shubman Gill,2025,Gujarat Titans,15,650,417,93,6,0,0,15,43.33,155.88
Sikandar Raza,2023,Punjab Kings,7,139,98,57,1,0,0,7,19.86,141.84
Sikandar Raza,2024,Punjab Kings,2,43,38,28,0,0,0,2,21.5,113.16
Simarjeet Singh,2022,Chennai Super Kings,3,7,8,3,0,0,0,3,2.33,87.5
Simarjeet Singh,2025,Sunrisers Hyderabad,3,3,7,3,0,0,2,3,1.0,42.86
Sohail Tanvir,2007,Rajasthan Royals,5,36,29,13,0,0,0,5,7.2,124.14
Sumit Kumar,2024,Delhi Capitals,3,18,24,9,0,0,0,3,6.0,75.0
Sunny Gupta,2012,Delhi Daredevils,1,0,1,0,0,0,1,1,0.0,0.0
Sunny Singh,2011,Kings XI Punjab,5,43,31,20,0,0,0,5,8.6,138.71
Suryansh Shedge,2025,Punjab Kings,3,7,11,4,0,0,0,3,2.33,63.64
Swapnil Singh,2016,Kings XI Punjab,1,0,1,0,0,0,1,1,0.0,0.0
Swapnil Singh,2017,Kings XI Punjab,2,12,19,10,0,0,0,2,6.0,63.16
Swapnil Singh,2023,Lucknow Super Giants,1,2,4,2,0,0,0,1,2.0,50.0
Swapnil Singh,2024,Royal Challengers Bengaluru,5,37,21,15,0,0,1,5,7.4,176.19
T Banton,2020,Kolkata Knight Riders,2,18,20,10,0,0,0,2,9.0,90.0
T Henderson,2009,Rajasthan Royals,2,11,16,11,0,0,1,2,5.5,68.75
T Kohler-Cadmore,2024,Rajasthan Royals,3,48,54,20,0,0,0,3,16.0,88.89
T Kohli,2007,Rajasthan Royals,2,10,15,7,0,0,0,2,5.0,66.67
T Kohli,2009,Kings XI Punjab,1,1,4,1,0,0,0,1,1.0,25.0
T Natarajan,2020,Sunrisers Hyderabad,2,3,5,3,0,0,1,2,1.5,60.0
T Shamsi,2021,Rajasthan Royals,1,2,4,2,0,0,0,1,2.0,50.0
T Stubbs,2022,Mumbai Indians,2,2,4,2,0,0,1,2,1.0,50.0
T Stubbs,2023,Mumbai Indians,2,25,31,20,0,0,0,2,12.5,80.65
T Stubbs,2024,Delhi Capitals,13,378,198,71,3,0,1,13,29.08,190.91
T Stubbs,2025,Delhi Capitals,13,306,200,41,0,0,0,13,23.54,153.0
T Taibu,2007,Kolkata Knight Riders,3,31,26,15,0,0,0,3,10.33,119.23
T Thushara,2009,Chennai Super Kings,4,12,18,8,0,0,0,4,3.0,66.67
TA Boult,2017,Kolkata Knight Riders,1,5,8,5,0,0,0,1,5.0,62.5
TA Boult,2018,Delhi Daredevils,1,0,2,0,0,0,1,1,0.0,0.0
TA Boult,2019,Delhi Capitals,2,7,4,6,0,0,0,2,3.5,175.0
TA Boult,2020,Mumbai Indians,1,0,1,0,0,0,1,1,0.0,0.0
TA Boult,2021,Mumbai Indians,2,1,4,1,0,0,1,2,0.5,25.0
TA Boult,2022,Rajasthan Royals,7,40,29,17,0,0,0,7,5.71,137.93
TA Boult,2023,Rajasthan Royals,4,16,14,15,0,0,1,3,5.33,114.29
TA Boult,2024,Rajasthan Royals,4,14,16,12,0,0,2,4,3.5,87.5
TA Boult,2025,Mumbai Indians,2,2,3,1,0,0,0,2,1.0,66.67
TD Paine,2011,Pune Warriors,2,10,26,8,0,0,0,2,5.0,38.46
TG Southee,2014,Rajasthan Royals,1,4,4,4,0,0,0,1,4.0,100.0
TG Southee,2015,Rajasthan Royals,2,13,9,7,0,0,0,2,6.5,144.44
TG Southee,2016,Mumbai Indians,4,30,19,25,0,0,0,4,7.5,157.89
TG Southee,2017,Mumbai Indians,1,7,3,7,0,0,0,1,7.0,233.33
TG Southee,2018,Royal Challengers Bangalore,4,52,46,36,0,0,0,4,13.0,113.04
TG Southee,2019,Royal Challengers Bangalore,1,9,9,9,0,0,0,1,9.0,100.0
TG Southee,2021,Kolkata Knight Riders,1,3,5,3,0,0,0,1,3.0,60.0
TG Southee,2022,Kolkata Knight Riders,5,2,12,1,0,0,3,5,0.4,16.67
TH David,2021,Royal Challengers Bangalore,1,1,3,1,0,0,0,1,1.0,33.33
TH David,2022,Mumbai Indians,8,186,86,46,0,0,0,8,23.25,216.28
TH David,2023,Mumbai Indians,15,231,146,45,0,0,2,15,15.4,158.22
TH David,2024,Mumbai Indians,11,241,152,45,0,0,1,11,21.91,158.55
TH David,2025,Royal Challengers Bengaluru,9,187,101,50,1,0,0,9,20.78,185.15
TK Curran,2018,Kolkata Knight Riders,4,23,28,18,0,0,0,4,5.75,82.14
TK Curran,2020,Rajasthan Royals,4,83,62,54,1,0,0,4,20.75,133.87
TK Curran,2021,Delhi Capitals,2,21,17,21,0,0,1,2,10.5,123.53
TL Seifert,2021,Kolkata Knight Riders,1,2,4,2,0,0,0,1,2.0,50.0
TL Seifert,2022,Delhi Capitals,2,24,19,21,0,0,0,2,12.0,126.32
TL Suman,2009,Deccan Chargers,26,544,447,78,2,0,2,26,20.92,121.7
TL Suman,2011,Mumbai Indians,6,65,51,36,0,0,0,6,10.83,127.45
TL Suman,2012,Mumbai Indians,2,15,19,10,0,0,0,2,7.5,78.95
TL Suman,2013,Pune Warriors,5,52,58,23,0,0,1,5,10.4,89.66
TM Dilshan,2007,Delhi Daredevils,7,104,79,33,0,0,1,7,14.86,131.65
TM Dilshan,2009,Delhi Daredevils,19,462,394,67,4,0,2,19,24.32,117.26
TM Dilshan,2011,Royal Challengers Bangalore,10,226,180,59,2,0,2,10,22.6,125.56
TM Dilshan,2012,Royal Challengers Bangalore,9,285,261,76,3,0,0,9,31.67,109.2
TM Dilshan,2013,Royal Challengers Bangalore,5,76,93,33,0,0,1,5,15.2,81.72
TM Head,2016,Royal Challengers Bangalore,3,54,40,37,0,0,0,3,18.0,135.0
TM Head,2017,Royal Challengers Bangalore,7,151,108,75,1,0,1,7,21.57,139.81
TM Head,2024,Sunrisers Hyderabad,15,567,296,102,4,1,3,15,37.8,191.55
TM Head,2025,Sunrisers Hyderabad,12,374,230,76,3,0,1,12,31.17,162.61
TM Srivastava,2007,Kings XI Punjab,2,8,10,7,0,0,0,2,4.0,80.0
TM Srivastava,2009,Kings XI Punjab,1,0,1,0,0,0,1,1,0.0,0.0
TR Birt,2011,Delhi Daredevils,5,75,58,27,0,0,0,5,15.0,129.31
TS Mills,2017,Royal Challengers Bangalore,3,8,11,6,0,0,1,3,2.67,72.73
TS Mills,2022,Mumbai Indians,2,0,3,0,0,0,2,2,0.0,0.0
TU Deshpande,2020,Delhi Capitals,2,21,12,20,0,0,0,2,10.5,175.0
TU Deshpande,2023,Chennai Super Kings,1,0,1,0,0,0,1,1,0.0,0.0
TU Deshpande,2024,Chennai Super Kings,1,0,1,0,0,0,1,1,0.0,0.0
TU Deshpande,2025,Rajasthan Royals,4,7,8,3,0,0,0,4,1.75,87.5
Tanush Kotian,2024,Rajasthan Royals,1,24,31,24,0,0,0,1,24.0,77.42
Tilak Varma,2022,Mumbai Indians,14,397,303,61,2,0,1,14,28.36,131.02
Tilak Varma,2023,Mumbai Indians,11,343,209,84,1,0,0,11,31.18,164.11
Tilak Varma,2024,Mumbai Indians,13,416,278,65,3,0,0,13,32.0,149.64
Tilak Varma,2025,Mumbai Indians,13,343,248,59,2,0,0,13,26.38,138.31
U Kaul,2007,Kings XI Punjab,1,0,1,0,0,0,1,1,0.0,0.0
UA Birla,2013,Pune Warriors,1,7,14,7,0,0,0,1,7.0,50.0
UBT Chand,2011,Delhi Daredevils,2,2,12,2,0,0,1,2,1.0,16.67
UBT Chand,2012,Delhi Daredevils,2,36,34,18,0,0,0,2,18.0,105.88
UBT Chand,2013,Delhi Daredevils,9,158,158,41,0,0,2,9,17.56,100.0
UBT Chand,2014,Rajasthan Royals,1,2,9,2,0,0,0,1,2.0,22.22
UBT Chand,2015,Mumbai Indians,5,102,83,58,1,0,0,5,20.4,122.89
UBT Chand,2016,Mumbai Indians,1,0,4,0,0,0,1,1,0.0,0.0
UT Khawaja,2016,Rising Pune Supergiants,6,127,100,30,0,0,0,6,21.17,127.0
UT Yadav,2009,Delhi Daredevils,1,3,4,3,0,0,0,1,3.0,75.0
UT Yadav,2011,Delhi Daredevils,2,1,5,1,0,0,1,2,0.5,20.0
UT Yadav,2012,Delhi Daredevils,3,2,7,1,0,0,1,3,0.67,28.57
UT Yadav,2013,Delhi Daredevils,7,38,38,12,0,0,0,7,5.43,100.0
UT Yadav,2014,Kolkata Knight Riders,1,2,4,2,0,0,0,1,2.0,50.0
UT Yadav,2015,Kolkata Knight Riders,3,29,14,24,0,0,1,3,9.67,207.14
UT Yadav,2016,Kolkata Knight Riders,2,9,5,7,0,0,0,2,4.5,180.0
UT Yadav,2017,Kolkata Knight Riders,4,10,13,4,0,0,0,4,2.5,76.92
UT Yadav,2018,Royal Challengers Bangalore,5,3,11,1,0,0,2,5,0.6,27.27
UT Yadav,2019,Royal Challengers Bangalore,5,25,25,14,0,0,1,5,5.0,100.0
UT Yadav,2020,Royal Challengers Bangalore,1,0,2,0,0,0,1,1,0.0,0.0
UT Yadav,2022,Kolkata Knight Riders,7,55,40,21,0,0,3,7,7.86,137.5
UT Yadav,2023,Kolkata Knight Riders,5,19,18,6,0,0,0,5,3.8,105.56
UT Yadav,2024,Gujarat Titans,2,12,15,10,0,0,0,2,6.0,80.0
Umar Gul,2007,Kolkata Knight Riders,4,39,19,24,0,0,0,4,9.75,205.26
Umran Malik,2022,Sunrisers Hyderabad,4,4,8,3,0,0,2,4,1.0,50.0
Umran Malik,2023,Sunrisers Hyderabad,1,19,8,19,0,0,0,1,19.0,237.5
Urvil Patel,2025,Chennai Super Kings,3,68,32,37,0,0,1,3,22.67,212.5
V Kohli,2007,Royal Challengers Bangalore,12,165,157,38,0,0,1,12,13.75,105.1
V Kohli,2009,Royal Challengers Bangalore,26,553,431,58,2,0,0,26,21.27,128.31
V Kohli,2011,Royal Challengers Bangalore,16,557,460,71,4,0,0,16,34.81,121.09
V Kohli,2012,Royal Challengers Bangalore,15,364,326,73,2,0,0,15,24.27,111.66
V Kohli,2013,Royal Challengers Bangalore,16,639,459,99,7,0,0,16,39.94,139.22
V Kohli,2014,Royal Challengers Bangalore,14,359,294,73,2,0,3,14,25.64,122.11
V Kohli,2015,Royal Challengers Bangalore,16,505,386,82,3,0,0,16,31.56,130.83
V Kohli,2016,Royal Challengers Bangalore,16,973,640,113,7,4,1,16,60.81,152.03
V Kohli,2017,Royal Challengers Bangalore,10,308,252,64,4,0,1,10,30.8,122.22
V Kohli,2018,Royal Challengers Bangalore,14,530,381,92,4,0,0,14,37.86,139.11
V Kohli,2019,Royal Challengers Bangalore,14,464,328,100,2,1,0,14,33.14,141.46
V Kohli,2020,Royal Challengers Bangalore,15,471,386,90,3,0,0,15,31.4,122.02
V Kohli,2021,Royal Challengers Bangalore,15,405,339,72,3,0,0,15,27.0,119.47
V Kohli,2022,Royal Challengers Bangalore,16,341,294,73,2,0,3,16,21.31,115.99
V Kohli,2023,Royal Challengers Bangalore,14,639,457,101,6,2,1,14,45.64,139.82
V Kohli,2024,Royal Challengers Bengaluru,15,741,479,113,5,1,0,15,49.4,154.7
V Kohli,2025,Royal Challengers Bengaluru,15,657,454,73,8,0,0,15,43.8,144.71
V Nigam,2025,Delhi Capitals,8,142,79,39,0,0,1,8,17.75,179.75
V Pratap Singh,2012,Deccan Chargers,1,0,1,0,0,0,1,1,0.0,0.0
V Sehwag,2007,Delhi Daredevils,14,406,220,94,3,0,2,14,29.0,184.55
V Sehwag,2009,Delhi Daredevils,25,554,356,75,4,0,2,25,22.16,155.62
V Sehwag,2011,Delhi Daredevils,11,424,240,119,2,1,0,11,38.55,176.67
V Sehwag,2012,Delhi Daredevils,16,495,307,87,5,0,1,16,30.94,161.24
V Sehwag,2013,Delhi Daredevils,13,295,233,95,1,0,1,13,22.69,126.61
V Sehwag,2014,Kings XI Punjab,17,455,315,122,1,1,0,17,26.76,144.44
V Sehwag,2015,Kings XI Punjab,8,99,84,47,0,0,1,8,12.38,117.86
V Shankar,2017,Sunrisers Hyderabad,4,101,75,63,1,0,0,4,25.25,134.67
V Shankar,2018,Delhi Daredevils,9,212,148,54,1,0,0,9,23.56,143.24
V Shankar,2019,Sunrisers Hyderabad,14,244,193,40,0,0,0,14,17.43,126.42
V Shankar,2020,Sunrisers Hyderabad,5,97,96,52,1,0,1,5,19.4,101.04
V Shankar,2021,Sunrisers Hyderabad,5,58,52,28,0,0,0,5,11.6,111.54
V Shankar,2022,Gujarat Titans,4,19,35,13,0,0,1,4,4.75,54.29
V Shankar,2023,Gujarat Titans,10,301,188,63,3,0,0,10,30.1,160.11
V Shankar,2024,Gujarat Titans,7,83,72,17,0,0,0,7,11.86,115.28
V Shankar,2025,Chennai Super Kings,5,118,91,69,1,0,0,5,23.6,129.67
V Suryavanshi,2025,Rajasthan Royals,7,252,122,101,1,1,1,7,36.0,206.56
V Viyaskanth,2024,Sunrisers Hyderabad,1,7,5,7,0,0,0,1,7.0,140.0
VG Arora,2022,Punjab Kings,4,5,13,2,0,0,1,4,1.25,38.46
VG Arora,2023,Kolkata Knight Riders,2,3,2,2,0,0,0,2,1.5,150.0
VG Arora,2024,Kolkata Knight Riders,1,1,1,1,0,0,0,1,1.0,100.0
VG Arora,2025,Kolkata Knight Riders,2,0,8,0,0,0,2,2,0.0,0.0
VH Zol,2014,Royal Challengers Bangalore,2,29,26,16,0,0,0,2,14.5,111.54
VR Aaron,2011,Delhi Daredevils,1,0,5,0,0,0,1,1,0.0,0.0
VR Aaron,2012,Delhi Daredevils,2,1,3,1,0,0,1,2,0.5,33.33
VR Aaron,2014,Royal Challengers Bangalore,3,35,34,17,0,0,0,3,11.67,102.94
VR Aaron,2015,Royal Challengers Bangalore,1,6,3,6,0,0,0,1,6.0,200.0
VR Aaron,2017,Kings XI Punjab,2,4,10,4,0,0,1,2,2.0,40.0
VR Aaron,2019,Rajasthan Royals,1,3,7,3,0,0,0,1,3.0,42.86
VR Aaron,2020,Rajasthan Royals,2,1,10,1,0,0,1,2,0.5,10.0
VR Iyer,2021,Kolkata Knight Riders,10,370,288,67,4,0,0,10,37.0,128.47
VR Iyer,2022,Kolkata Knight Riders,12,182,169,50,1,0,1,12,15.17,107.69
VR Iyer,2023,Kolkata Knight Riders,14,404,277,104,2,1,1,14,28.86,145.85
VR Iyer,2024,Kolkata Knight Riders,13,370,233,70,4,0,0,13,28.46,158.8
VR Iyer,2025,Kolkata Knight Riders,7,142,102,60,1,0,0,7,20.29,139.22
VRV Singh,2007,Kings XI Punjab,2,4,3,4,0,0,1,2,2.0,133.33
VS Malik,2009,Kings XI Punjab,1,6,5,6,0,0,0,1,6.0,120.0
VS Malik,2014,Rajasthan Royals,1,1,2,1,0,0,0,1,1.0,50.0
VS Yeligati,2007,Mumbai Indians,1,2,2,2,0,0,0,1,2.0,100.0
VVS Laxman,2007,Deccan Chargers,6,155,132,52,1,0,1,6,25.83,117.42
VVS Laxman,2009,Deccan Chargers,11,83,93,22,0,0,2,11,7.55,89.25
VVS Laxman,2011,Kochi Tuskers Kerala,3,44,42,36,0,0,1,3,14.67,104.76
VY Mahesh,2007,Delhi Daredevils,5,15,27,6,0,0,1,5,3.0,55.56
Vijaykumar Vyshak,2023,Royal Challengers Bangalore,2,13,9,13,0,0,1,2,6.5,144.44
Vijaykumar Vyshak,2024,Royal Challengers Bengaluru,2,1,3,1,0,0,1,2,0.5,33.33
Virat Singh,2021,Sunrisers Hyderabad,2,15,26,11,0,0,0,2,7.5,57.69
Vishnu Vinod,2017,Royal Challengers Bangalore,3,19,26,9,0,0,0,3,6.33,73.08
Vishnu Vinod,2023,Mumbai Indians,3,37,31,30,0,0,0,3,12.33,119.35
Vivrant Sharma,2023,Sunrisers Hyderabad,1,69,47,69,1,0,0,1,69.0,146.81
W Jaffer,2007,Royal Challengers Bangalore,6,115,104,50,1,0,1,6,19.17,110.58
W Jaffer,2009,Royal Challengers Bangalore,2,15,17,8,0,0,0,2,7.5,88.24
WA Mota,2007,Kings XI Punjab,2,26,27,25,0,0,0,2,13.0,96.3
WA Mota,2009,Kings XI Punjab,6,30,48,12,0,0,0,6,5.0,62.5
WD Parnell,2011,Pune Warriors,5,37,39,16,0,0,0,5,7.4,94.87
WD Parnell,2012,Pune Warriors,5,19,27,11,0,0,0,5,3.8,70.37
WD Parnell,2013,Pune Warriors,1,5,7,5,0,0,0,1,5.0,71.43
WD Parnell,2014,Delhi Daredevils,1,2,2,2,0,0,0,1,2.0,100.0
WD Parnell,2023,Royal Challengers Bangalore,1,2,5,2,0,0,0,1,2.0,40.0
WG Jacks,2024,Royal Challengers Bengaluru,8,230,131,100,1,1,0,8,28.75,175.57
WG Jacks,2025,Mumbai Indians,11,233,172,53,1,0,0,11,21.18,135.47
WP Saha,2007,Kolkata Knight Riders,10,159,119,59,1,0,0,10,15.9,133.61
WP Saha,2009,Kolkata Knight Riders,13,139,94,25,0,0,1,13,10.69,147.87
WP Saha,2011,Chennai Super Kings,2,68,63,46,0,0,0,2,34.0,107.94
WP Saha,2012,Chennai Super Kings,1,6,14,6,0,0,0,1,6.0,42.86
WP Saha,2013,Chennai Super Kings,3,70,56,39,0,0,0,3,23.33,125.0
WP Saha,2014,Kings XI Punjab,13,362,249,115,2,1,0,13,27.85,145.38
WP Saha,2015,Kings XI Punjab,13,249,197,42,0,0,0,13,19.15,126.4
WP Saha,2016,Kings XI Punjab,12,270,212,56,2,0,0,12,22.5,127.36
WP Saha,2017,Kings XI Punjab,11,234,187,93,1,0,1,11,21.27,125.13
WP Saha,2018,Sunrisers Hyderabad,10,122,102,35,0,0,1,10,12.2,119.61
WP Saha,2019,Sunrisers Hyderabad,5,86,53,28,0,0,0,5,17.2,162.26
WP Saha,2020,Sunrisers Hyderabad,4,214,153,87,2,0,0,4,53.5,139.87
WP Saha,2021,Sunrisers Hyderabad,9,131,140,44,0,0,1,9,14.56,93.57
WP Saha,2022,Gujarat Titans,11,317,259,68,3,0,1,11,28.82,122.39
WP Saha,2023,Gujarat Titans,17,371,287,81,2,0,2,17,21.82,129.27
WP Saha,2024,Gujarat Titans,9,136,115,39,0,0,0,9,15.11,118.26
WPUJC Vaas,2007,Deccan Chargers,4,21,18,12,0,0,2,4,5.25,116.67
